class,light point,mean_red,mean_green,mean_blue,dark_point,point_size
Healthy,2,7.668985172193878,10.158601721938776,1.2921914859693877,2,0
Healthy,2,9.288345025510203,11.982322225765307,2.2878268494897958,2,0
Healthy,2,12.87777024872449,16.480687978316325,2.3074178890306123,2,0
Healthy,1,12.49461894132653,15.271464445153061,2.1066446109693877,2,0
Healthy,1,8.791912468112244,11.387934470663266,1.5762316645408163,2,0
Healthy,2,11.436503507653061,15.021065848214286,1.9847935267857142,1,8
Healthy,2,11.39223931760204,14.626913265306122,2.2931680484693877,2,0
Healthy,2,8.24934231505102,10.114636479591837,1.7678172831632653,2,0
Healthy,2,7.046695631377551,10.083047672193878,2.074836575255102,2,0
Healthy,2,10.380161830357142,13.139209980867347,2.157126913265306,0,5
Healthy,1,6.434151785714286,7.549864477040816,1.6108498086734695,2,0
Healthy,2,5.267319036989796,6.396225286989796,1.377750318877551,2,0
Healthy,1,7.398716517857143,9.228714923469388,1.8862005739795917,2,0
Healthy,2,9.408502072704081,11.945212850765307,2.445770886479592,1,12
Healthy,2,9.54249043367347,11.334402901785714,2.1127830038265305,0,3
Healthy,2,8.618263711734693,10.162169164540817,1.4541613520408163,2,0
Healthy,2,8.322544642857142,10.79719387755102,1.8161870216836735,0,7
Healthy,2,7.8403220663265305,10.72885443239796,1.8704161352040816,2,0
Healthy,1,8.95280612244898,11.382752710459183,2.080695950255102,0,5
Healthy,2,7.559948979591836,9.28595344387755,1.2329799107142858,2,0
Healthy,2,8.058374521683673,9.412667410714286,2.0338408801020407,2,0
Healthy,1,8.313337053571429,10.06640625,1.4591238839285714,2,0
Healthy,1,9.789640465561224,11.087990274234693,1.7996452487244898,2,0
Healthy,1,11.048150510204081,13.741888552295919,1.9757852359693877,2,0
Healthy,1,8.977020886479592,10.44758450255102,1.951351243622449,2,0
Healthy,1,12.886280293367347,15.372588488520408,2.309271364795918,2,0
Healthy,0,10.065031090561224,11.752311862244898,2.436423788265306,0,8
Healthy,1,15.386200573979592,18.797253667091837,2.6895727040816326,2,0
Healthy,2,4.203683035714286,4.567920918367347,0.9505939094387755,2,0
Healthy,2,9.431242028061224,10.98094706632653,1.4542012117346939,2,0
Healthy,1,7.832908163265306,8.059709821428571,1.6065449617346939,2,0
Healthy,2,6.051558514030612,6.595563616071429,1.1299226721938775,2,0
Healthy,2,10.685088488520408,12.573282047193878,1.665118781887755,2,0
Healthy,1,8.29149394132653,10.577766262755102,1.4264389349489797,2,0
Healthy,1,5.211615114795919,6.734673947704081,1.0454001913265305,2,0
Healthy,0,11.177933673469388,14.136479591836734,2.1845703125,2,0
Healthy,2,8.691485969387756,11.23321906887755,1.933055644132653,1,19
Healthy,0,15.317761479591837,20.724011479591837,2.1745854591836733,2,0
Healthy,2,7.066585618622449,9.738520408163266,1.2087850765306123,2,0
Healthy,1,8.42055963010204,10.968132174744898,1.5013552295918366,2,0
Healthy,1,6.525271045918367,9.19449537627551,1.1476203762755102,2,0
Healthy,0,10.8193359375,13.76626275510204,1.2250279017857142,1,16
Healthy,0,28.606206154336736,31.045340401785715,2.413962850765306,2,0
Healthy,1,10.119858099489797,12.446727519132653,1.076430963010204,1,6
Healthy,0,21.286670918367346,26.857242506377553,2.7225167410714284,2,0
Healthy,0,24.64190051020408,28.436363998724488,4.53547512755102,1,8
Healthy,0,23.726363201530614,27.346639827806122,4.176638233418367,2,0
Healthy,0,17.464783960459183,21.984414859693878,2.4051339285714284,2,0
Healthy,1,9.919184470663266,12.287647480867347,0.9863879145408163,1,7
Healthy,1,11.594009088010203,15.255141900510203,1.783382493622449,1,5
Healthy,1,14.698501275510203,19.685805963010203,1.9809869260204083,2,0
Healthy,1,16.056082589285715,20.034299266581634,2.439353475765306,2,0
Healthy,1,24.291553730867346,31.520388233418366,3.3959263392857144,2,0
Healthy,1,22.04848931760204,27.757672991071427,3.483378507653061,2,0
Healthy,2,10.16731106505102,13.562420280612244,1.5500837053571428,2,0
Healthy,0,17.20053411989796,23.901088169642858,1.7991071428571428,1,3
Healthy,2,16.397281568877553,22.523337850765305,1.8100486288265305,2,0
Healthy,0,22.165437659438776,27.517637914540817,4.67171556122449,1,38
Healthy,0,17.689014668367346,20.124621332908163,6.271125637755102,1,41
Healthy,1,29.3072584502551,35.24477838010204,6.947126116071429,1,3
Healthy,0,36.84044164540816,48.80723852040816,4.315389827806122,1,68
Healthy,1,23.001574457908163,32.14989237882653,2.610949457908163,1,14
